id,key,type,value
137247469,highway,regular,traffic_signals
137247469,traffic_signals,regular,signal
137247520,highway,regular,traffic_signals
137247520,traffic_signals,regular,signal
137247531,highway,regular,traffic_signals
137247531,traffic_signals,regular,signal
137247543,highway,regular,traffic_signals
137247582,highway,regular,traffic_signals
137247600,highway,regular,traffic_signals
137247658,highway,regular,traffic_signals
137247658,traffic_signals,regular,signal
137247811,highway,regular,turning_circle
137248165,highway,regular,turning_circle
137248455,highway,regular,turning_circle
137248517,highway,regular,turning_circle
137248621,highway,regular,turning_circle
137249001,highway,regular,turning_circle
137249017,source,regular,Bing
137249017,highway,regular,turning_circle
137249028,highway,regular,traffic_signals
137249100,highway,regular,turning_circle
137249115,highway,regular,turning_circle
137249709,highway,regular,turning_circle
137249926,highway,regular,turning_circle
137250032,source,regular,Bing
137250032,highway,regular,turning_circle
137250459,highway,regular,turning_circle
137250530,highway,regular,turning_circle
137250540,highway,regular,turning_circle
137250715,highway,regular,turning_circle
137250755,highway,regular,turning_circle
137250863,highway,regular,turning_circle
137250943,source,regular,Bing
137250943,highway,regular,turning_circle
137250962,source,regular,Bing
137250962,highway,regular,turning_circle
137250972,highway,regular,turning_circle
137251029,highway,regular,turning_circle
137251037,highway,regular,turning_circle
137251198,highway,regular,turning_circle
137251204,highway,regular,turning_circle
137251222,source,regular,Bing
137251222,highway,regular,turning_circle
137251607,highway,regular,turning_circle
137251901,highway,regular,traffic_signals
137251986,highway,regular,turning_circle
137252000,highway,regular,turning_circle
137252018,ele,regular,498
137252018,name,regular,Rodeo Park
137252018,leisure,regular,park
137252018,created,gnis,07/16/2008
137252018,state_id,gnis,32
137252018,county_id,gnis,003
137252018,feature_id,gnis,2473471
137252089,highway,regular,turning_circle
137252131,highway,regular,turning_circle
137252140,highway,regular,turning_circle
137252145,highway,regular,turning_circle
137252560,highway,regular,traffic_signals
137252635,highway,regular,traffic_signals
137253440,highway,regular,traffic_signals
137253501,highway,regular,traffic_signals
137253637,source,regular,Bing
